Name,Dist ,m App,M ass,Temp
Proxima Centauri,4.24,11.1,15.53,2800
Alpha Centauri A,4.35,-0.01,4.37,5800
Alpha Centauri B,4.35,1.34,5.72,4900
Barnard's Star,5.98,9.54,13.23,2800
Wolf 359,7.78,13.46,16.57,2700
Lalande 21185,8.26,7.48,10.46,3300
Sirius A ,8.55,-1.46,1.45,9900
Sirius B ,8.55,8.44,11.34,12000
Luyten 726-8A,8.73,12.56,15.42,2700
UV Ceti,8.73,12.52,15.38,2600
Ross 154,9.45,10.45,13.14,3000
Ross 248,10.32,12.29,14.79,2799
Epsilon Eridani,10.52,3.73,6.19,5084
Lacaille 9352,10.74,7.34,9.75,3626
Ross 128,10.92,11.13,13.51,3180
EZ Aquarii,11.27,13.33,15.64,2650
Procyon A,11.27,0.38,2.66,6530
Procyon B,11.27,10.7,12.98,7740
61 Cygni A,11.4,5.21,7.49,4526
61 Cygni B,11.4,6.03,8.31,4077
Gliese 725,11.53,8.9,11.16,3680
Gliese 15,11.62,8.08,10.32,3730
Epsilon Indi,11.82,4.69,6.89,4630
